transaction_id,user_id,account_id,payment_type,amount,status,timestamp
T113,U1696,A2992,Wire,1043.63,completed,2026-02-13 15:33:58
T114,U1520,A1158,Wire,86.95,completed,2026-02-25 14:03:44
T115,U1613,A1257,ACH,362.71,completed,2026-02-24 00:10:06
T116,U1645,A1857,Card,762.93,completed,2026-02-10 09:22:30
T117,U2435,A2207,Wire,156.92,failed,2026-02-20 01:11:11
T118,U2321,A2042,Card,744.02,completed,2026-02-23 11:45:48
T119,U2669,A1453,Wire,599.73,completed,2026-02-02 16:56:33
T120,U2994,A2030,ACH,46.4,failed,2026-02-18 22:56:00
T121,U2909,A2544,Wire,214.87,completed,2026-02-08 14:05:57
T122,U2459,A2799,ACH,157.31,completed,2026-02-20 14:02:45
T123,U1205,A2040,Wire,137.96,completed,2026-02-13 18:53:31
T124,U1783,A2989,ACH,738.3,completed,2026-02-26 05:49:00
T125,U1686,A2729,Wire,360.05,completed,2026-02-21 21:22:46
T126,U2989,A2379,ACH,187.58,completed,2026-02-19 13:45:48
T127,U1168,A87,Card,25.52,completed,2026-02-26 06:35:54
T128,U67,A1294,ACH,342.75,completed,2026-02-04 02:30:41
T129,U697,A2502,Card,348.79,completed,2026-02-11 07:19:46
T130,U1326,A2149,Wire,309.81,completed,2026-02-12 11:24:30
T131,U461,A1995,Wire,987.93,completed,2026-02-01 06:01:42
T132,U2244,A159,Wire,184.12,completed,2026-02-18 14:58:43
T133,U2772,A858,Wire,948.8,completed,2026-02-21 04:41:55
T134,U2204,A1894,Card,252.03,completed,2026-02-18 02:42:33
T135,U2463,A2072,Card,910.24,completed,2026-02-05 19:00:11
T136,U412,A228,Card,104.0,completed,2026-02-27 14:33:16
T137,U2275,A2497,Card,782.95,completed,2026-02-12 02:48:38
T138,U2841,A2147,ACH,420.99,failed,2026-02-13 04:50:44
T139,U299,A1444,ACH,200.8,pending,2026-02-01 15:40:06
T140,U1434,A274,Wire,673.94,completed,2026-02-22 22:02:24
T141,U1098,A2341,Wire,277.44,completed,2026-02-20 22:19:45
T142,U2885,A2450,Wire,213.41,completed,2026-02-06 21:52:59
T143,U2888,A2861,Card,629.12,completed,2026-02-06 05:05:57
T144,U2401,A1833,ACH,430.68,completed,2026-02-23 17:47:41
T145,U1899,A551,ACH,280.37,completed,2026-02-11 00:45:10
T146,U887,A2720,ACH,131.71,completed,2026-02-23 14:38:34
T147,U2096,A2472,ACH,23.63,completed,2026-02-08 16:39:20
T148,U482,A2013,ACH,984.44,completed,2026-02-25 06:24:26
T149,U2851,A1581,Card,2472.95,completed,2026-02-11 15:01:22
T150,U1774,A2863,Wire,621.65,completed,2026-02-09 23:22:35
T151,U2351,A669,Card,646.35,completed,2026-02-15 14:05:08
T152,U890,A1753,Wire,666.05,completed,2026-02-01 19:43:43
T153,U1913,A767,ACH,250.08,completed,2026-02-14 22:49:53
T154,U2876,A1055,Card,212.95,failed,2026-02-27 14:22:32
T155,U311,A2836,Card,134.37,completed,2026-02-22 23:21:53
T156,U2922,A2036,ACH,150.66,completed,2026-02-11 15:08:28
T157,U1589,A2421,ACH,627.5,completed,2026-02-20 08:17:18
T158,U172,A1537,Wire,393.02,completed,2026-02-21 07:02:35
T159,U2821,A2037,ACH,104.19,completed,2026-02-26 10:23:28
T160,U205,A2935,ACH,404.33,completed,2026-02-09 08:45:13
T161,U567,A2925,Wire,201.07,completed,2026-02-12 13:42:30
T162,U1696,A406,ACH,1140.44,failed,2026-02-18 13:25:47
T163,U644,A1258,Card,149.95,completed,2026-02-15 14:44:30
T164,U2500,A284,ACH,913.22,completed,2026-02-08 04:43:54
T165,U2669,A274,ACH,461.39,completed,2026-02-08 02:40:46
T166,U1290,A1512,ACH,242.44,completed,2026-02-16 11:50:39
T167,U1043,A2145,ACH,152.06,completed,2026-02-14 13:24:59
T168,U2242,A2110,Card,759.17,completed,2026-02-03 06:26:12
T169,U1484,A2964,Wire,803.3,failed,2026-02-18 02:10:23
T170,U396,A1103,ACH,556.17,completed,2026-02-14 11:04:28
T171,U2142,A27,Wire,161.34,completed,2026-02-18 09:42:31
T172,U625,A1615,Wire,456.92,failed,2026-02-05 11:56:22
T173,U2955,A1412,Card,269.42,failed,2026-02-24 16:27:34
T174,U1083,A2989,Card,28.4,pending,2026-02-14 18:32:49
T175,U427,A677,ACH,588.58,completed,2026-02-12 14:56:53
T176,U2419,A283,Card,137.12,completed,2026-02-02 21:55:54
T177,U2201,A157,Card,758.74,completed,2026-02-05 13:57:15
T178,U2795,A589,ACH,436.76,failed,2026-02-13 09:45:02
T179,U2638,A978,Card,284.76,completed,2026-02-05 17:35:17
T180,U210,A722,ACH,233.49,completed,2026-02-05 17:06:19
T181,U2146,A828,Wire,1255.14,completed,2026-02-04 11:04:20
T182,U1658,A1723,Wire,515.27,completed,2026-02-19 15:24:03
T183,U1559,A793,Wire,437.85,completed,2026-02-21 01:08:04
T184,U61,A2668,Card,296.64,failed,2026-02-11 06:53:41
T185,U749,A940,Wire,906.63,completed,2026-02-24 20:59:01
T186,U2669,A171,Card,177.41,completed,2026-02-26 23:59:24
T187,U816,A2828,Card,95.37,completed,2026-02-19 14:48:25
T188,U1193,A1706,Card,899.3,completed,2026-02-23 20:13:58
T189,U1791,A1376,ACH,155.85,completed,2026-02-17 04:34:10
T190,U1259,A883,Card,548.04,completed,2026-02-23 14:43:39
T191,U2107,A2225,Card,244.84,completed,2026-02-18 21:06:35
T192,U2106,A425,Card,170.4,completed,2026-02-07 08:15:06
T193,U1211,A1,Wire,506.76,completed,2026-02-20 09:13:18
T194,U1466,A769,ACH,307.53,failed,2026-02-13 12:36:21
T195,U2344,A1574,Wire,304.88,completed,2026-02-04 01:22:16
T196,U2157,A345,ACH,38.82,completed,2026-02-12 12:09:22
T197,U1736,A2459,ACH,176.38,completed,2026-02-15 16:09:52
T198,U1992,A285,Card,116.28,completed,2026-02-13 12:53:33
T199,U1847,A1717,ACH,186.35,completed,2026-02-05 05:29:44
T200,U1772,A99,Wire,12.97,completed,2026-02-20 12:14:11
T201,U2359,A1910,Wire,187.39,completed,2026-02-05 02:44:32
T202,U1136,A1887,ACH,523.09,completed,2026-02-09 19:53:03
T203,U520,A2403,Wire,8.03,completed,2026-02-11 09:26:11
T204,U1063,A1377,ACH,381.36,completed,2026-02-03 23:20:10
T205,U1757,A2824,Card,412.35,completed,2026-02-17 06:54:11
T206,U842,A2717,Wire,238.71,completed,2026-02-17 05:36:29
T207,U975,A433,ACH,1287.48,completed,2026-02-19 01:07:51
T208,U108,A261,Card,980.41,completed,2026-02-13 12:52:17
T209,U1814,A2375,ACH,1534.06,completed,2026-02-14 07:21:44
T210,U951,A133,Card,169.1,completed,2026-02-22 07:08:06
T211,U502,A1513,Card,629.16,completed,2026-02-03 03:11:28
T212,U852,A687,Wire,431.57,completed,2026-02-17 05:48:31
T213,U1260,A838,Card,194.87,completed,2026-02-01 04:07:19
T214,U653,A1255,Wire,795.62,completed,2026-02-17 23:03:55
T215,U269,A1141,Wire,301.37,completed,2026-02-19 04:57:54
T216,U2891,A2369,Wire,418.91,failed,2026-02-11 06:37:40
T217,U1864,A1717,Wire,183.67,completed,2026-02-19 20:03:41
T218,U65,A1893,ACH,2.78,completed,2026-02-02 01:13:08
T219,U1994,A1761,Wire,12.75,completed,2026-02-05 10:07:07
T220,U957,A2201,Card,93.49,completed,2026-02-23 14:35:28
T221,U2329,A1198,ACH,140.14,completed,2026-02-15 06:35:23
T222,U2100,A1575,Wire,335.65,completed,2026-02-15 15:14:35
T223,U2416,A734,Card,143.05,completed,2026-02-07 18:59:46
T224,U2758,A1309,Card,266.83,completed,2026-02-03 19:09:36
T225,U1958,A2560,ACH,693.22,completed,2026-02-14 09:32:16
T226,U2234,A241,Wire,125.15,completed,2026-02-27 18:25:19
T227,U406,A915,Wire,429.74,failed,2026-02-15 23:35:12
T228,U2976,A1025,ACH,628.62,completed,2026-02-10 15:48:33
T229,U1940,A104,Wire,1516.52,completed,2026-02-11 05:16:00
T230,U2125,A2469,Wire,363.62,completed,2026-02-08 23:11:50
T231,U2860,A1636,Card,400.53,failed,2026-02-02 17:58:29
T232,U2214,A301,ACH,345.6,completed,2026-02-09 15:40:21
T233,U895,A1909,Card,164.37,completed,2026-02-21 23:06:15
T234,U2162,A1823,Card,879.01,completed,2026-02-07 12:53:09
T235,U2525,A2508,Wire,1284.81,completed,2026-02-22 20:08:16
T236,U84,A1386,Card,9.93,pending,2026-02-20 22:01:20
T237,U897,A685,ACH,506.64,failed,2026-02-05 17:51:06
T238,U2170,A399,Card,436.8,completed,2026-02-12 03:45:18
T239,U49,A2819,Wire,34.34,failed,2026-02-01 18:35:19
T240,U2886,A1598,Wire,928.54,failed,2026-02-24 08:16:44
T241,U2831,A246,Card,36.55,failed,2026-02-02 17:55:15
T242,U865,A1568,Card,456.21,completed,2026-02-27 00:35:37
T243,U1318,A2192,ACH,178.95,pending,2026-02-18 12:16:35
T244,U1311,A678,ACH,208.7,completed,2026-02-04 02:07:30
T245,U2833,A1958,Card,72.39,completed,2026-02-23 22:22:54
T246,U876,A1970,Wire,478.67,completed,2026-02-26 03:56:55
T247,U801,A1210,ACH,76.58,completed,2026-02-02 11:16:25
T248,U1087,A2719,Wire,747.32,completed,2026-02-19 13:16:09
T249,U113,A1035,Wire,232.48,failed,2026-02-24 19:19:41
T250,U2257,A2477,ACH,248.69,completed,2026-02-12 05:57:31
T251,U2017,A2639,Card,201.77,completed,2026-02-06 19:01:57
T252,U599,A1509,ACH,53.76,completed,2026-02-03 18:54:41
T253,U490,A1433,ACH,2222.57,failed,2026-02-18 05:03:01
T254,U2447,A62,Wire,440.99,failed,2026-02-18 20:08:31
T255,U889,A336,ACH,67.75,completed,2026-02-02 17:50:05
T256,U2073,A1456,ACH,976.2,completed,2026-02-06 04:11:28
T257,U1319,A2942,Wire,774.33,completed,2026-02-25 21:49:30
T258,U1474,A2785,Card,1004.41,completed,2026-02-27 02:27:14
T259,U2838,A955,Wire,152.34,completed,2026-02-22 14:11:51
T260,U748,A2399,ACH,1652.7,completed,2026-02-06 13:24:46
T261,U1593,A811,Wire,1283.02,completed,2026-02-03 08:32:38
T262,U619,A1514,Card,220.55,failed,2026-02-18 21:05:32
T263,U2289,A2291,Card,428.73,completed,2026-02-05 17:17:16
T264,U2095,A2401,Card,388.07,completed,2026-02-07 18:57:33
T265,U636,A2235,Card,1411.98,completed,2026-02-09 02:11:03
T266,U2463,A434,Card,850.36,completed,2026-02-07 18:20:10
T267,U2935,A947,Wire,1050.78,completed,2026-02-17 04:38:23
T268,U2229,A520,ACH,685.03,completed,2026-02-05 21:41:36
T269,U825,A1950,Wire,124.45,completed,2026-02-23 18:09:22
T270,U2062,A1296,ACH,262.72,completed,2026-02-25 08:46:55
T271,U1233,A1170,Card,699.92,completed,2026-02-01 01:52:07
T272,U1839,A1696,Wire,598.94,completed,2026-02-15 12:09:08
T273,U2488,A1774,ACH,196.15,completed,2026-02-22 18:14:52
T274,U8,A2941,Wire,358.81,completed,2026-02-22 14:39:01
T275,U1616,A1766,Wire,3579.33,completed,2026-02-27 05:53:45
T276,U1767,A874,Card,1888.54,completed,2026-02-26 16:10:22
T277,U1080,A1525,ACH,715.57,failed,2026-02-16 01:41:32
T278,U424,A674,Wire,503.63,completed,2026-02-22 15:53:07
T279,U1551,A2488,Card,3319.06,completed,2026-02-10 07:21:02
T280,U1746,A937,ACH,51.36,failed,2026-02-09 01:00:17
T281,U2851,A23,Card,419.68,completed,2026-02-07 23:17:14
T282,U1504,A1643,Wire,123.38,completed,2026-02-19 21:55:54
T283,U1057,A2113,Wire,123.49,completed,2026-02-28 16:01:53
T284,U107,A789,ACH,364.63,completed,2026-02-20 08:09:32
T285,U259,A1648,ACH,350.33,completed,2026-02-04 11:39:47
T286,U2330,A2775,Wire,300.36,completed,2026-02-27 05:37:59
T287,U707,A692,Wire,253.56,completed,2026-02-28 01:43:29
T288,U533,A1931,Wire,155.51,completed,2026-02-05 23:13:54
T289,U1769,A1357,Card,727.78,pending,2026-02-05 15:06:25
T290,U2424,A2922,ACH,284.3,completed,2026-02-03 21:44:21
T291,U2140,A931,ACH,198.91,completed,2026-02-02 20:25:26
T292,U145,A1176,Wire,342.98,completed,2026-02-15 16:46:26
T293,U935,A123,Wire,735.98,completed,2026-02-19 05:12:39
T294,U737,A442,ACH,571.55,completed,2026-02-16 09:47:43
T295,U1438,A2921,Wire,1608.01,completed,2026-02-17 01:58:07
T296,U22,A1842,ACH,1152.71,completed,2026-02-18 20:35:35
T297,U2074,A2938,Card,474.78,completed,2026-02-17 19:41:17
T298,U1216,A111,Wire,173.5,completed,2026-02-22 12:45:18
T299,U787,A783,ACH,73.39,completed,2026-02-17 05:01:50
T300,U2130,A937,Wire,440.94,completed,2026-02-07 18:31:58
T301,U1254,A740,ACH,60.33,completed,2026-02-22 09:33:55
T302,U1539,A2834,Card,59.99,failed,2026-02-02 02:44:12
T303,U404,A2585,Card,318.5,completed,2026-02-15 20:31:54
T304,U1565,A1429,ACH,1078.35,completed,2026-02-11 12:27:55
T305,U2519,A1271,ACH,350.21,completed,2026-02-26 01:16:27
T306,U686,A361,Card,297.6,failed,2026-02-06 19:00:29
T307,U1976,A1483,ACH,93.49,completed,2026-02-28 06:14:14
T308,U747,A1560,Wire,630.14,completed,2026-02-02 23:06:58
T309,U1910,A2476,ACH,1424.73,completed,2026-02-09 07:47:34
T310,U1695,A862,Card,1828.71,completed,2026-02-05 13:19:50
T311,U1881,A1274,Wire,349.38,completed,2026-02-16 02:22:16
T312,U1779,A851,Wire,538.04,completed,2026-02-14 13:42:08
T313,U2331,A1472,Card,759.88,completed,2026-02-17 06:32:52
T314,U235,A1616,ACH,306.15,completed,2026-02-06 03:13:13
T315,U1859,A1364,Card,796.94,completed,2026-02-07 00:57:05
T316,U725,A717,ACH,270.0,failed,2026-02-16 14:30:04
T317,U2175,A1285,Wire,113.15,completed,2026-02-01 23:58:36
T318,U2066,A249,ACH,38.21,completed,2026-02-24 07:06:57
T319,U2332,A471,Wire,322.0,completed,2026-02-13 04:15:52
T320,U2580,A2789,Card,277.05,failed,2026-02-10 17:02:26
T321,U1109,A775,Card,140.39,completed,2026-02-06 06:41:55
T322,U1801,A646,Wire,111.84,failed,2026-02-26 04:34:09
T323,U2689,A1327,Wire,205.91,completed,2026-02-13 13:00:56
T324,U978,A1522,Wire,692.31,completed,2026-02-03 09:16:52
T325,U825,A1296,Card,730.84,failed,2026-02-26 17:14:34
T326,U1349,A1874,Card,16.8,completed,2026-02-26 01:40:40
T327,U290,A924,Wire,393.48,completed,2026-02-10 11:15:52
T328,U937,A1670,Card,2162.17,completed,2026-02-20 18:28:25
T329,U868,A2241,Wire,370.97,completed,2026-02-14 09:53:58
T330,U2101,A463,Card,1.8,completed,2026-02-20 05:00:35
T331,U458,A661,ACH,413.11,completed,2026-02-25 04:27:18
T332,U2195,A2602,ACH,1818.69,completed,2026-02-01 23:07:47
T333,U2660,A2021,ACH,193.32,completed,2026-02-01 16:22:22
T334,U1484,A536,ACH,89.91,completed,2026-02-19 10:24:29
T335,U1307,A1359,Card,16.17,completed,2026-02-03 22:56:13
T336,U1952,A2465,Wire,817.88,completed,2026-02-15 08:36:19
T337,U776,A1391,Wire,67.74,completed,2026-02-26 04:19:21
T338,U1826,A704,ACH,955.42,failed,2026-02-23 16:45:38
T339,U2175,A1390,Wire,71.0,completed,2026-02-10 03:07:34
T340,U869,A881,ACH,106.66,completed,2026-02-05 04:48:24
T341,U561,A1336,Card,1131.86,completed,2026-02-13 22:27:30
T342,U886,A1965,ACH,10.73,completed,2026-02-17 05:50:14
T343,U611,A2391,ACH,702.5,completed,2026-02-18 04:34:30
T344,U2783,A815,ACH,200.61,completed,2026-02-02 00:29:24
T345,U69,A2658,Card,262.13,completed,2026-02-11 04:47:12
T346,U886,A2010,ACH,107.37,failed,2026-02-26 17:39:32
T347,U2664,A426,Card,456.44,completed,2026-02-04 11:19:34
T348,U653,A1640,Wire,437.95,failed,2026-02-01 02:22:03
T349,U227,A1155,Wire,247.73,completed,2026-02-13 18:39:30
T350,U450,A753,ACH,22.85,completed,2026-02-04 02:16:38
T351,U206,A1239,ACH,287.66,completed,2026-02-12 17:45:45
T352,U1537,A2661,Wire,912.36,completed,2026-02-01 21:06:19
T353,U253,A810,Wire,475.75,pending,2026-02-04 01:55:04
T354,U2364,A1606,Wire,576.18,completed,2026-02-20 04:22:19
T355,U1560,A171,ACH,426.86,completed,2026-02-12 15:26:25
T356,U2569,A1049,Wire,196.28,completed,2026-02-12 15:18:01
T357,U1140,A854,ACH,5.03,completed,2026-02-06 20:45:58
T358,U2564,A16,Wire,329.99,failed,2026-02-12 16:13:51
T359,U2489,A695,Wire,143.07,completed,2026-02-01 21:07:00
T360,U2826,A815,ACH,117.51,completed,2026-02-09 17:37:55
T361,U2997,A2769,ACH,120.4,pending,2026-02-10 16:43:38
T362,U1198,A2768,Wire,414.4,completed,2026-02-17 14:54:25
T363,U2537,A1622,Card,940.56,completed,2026-02-03 06:19:23
T364,U2372,A208,ACH,331.22,completed,2026-02-18 17:44:58
T365,U1713,A304,Card,96.6,completed,2026-02-10 10:03:08
T366,U228,A2266,Card,88.9,completed,2026-02-25 08:52:03
T367,U1862,A1442,Wire,748.51,completed,2026-02-15 13:35:45
T368,U794,A412,Card,1516.7,completed,2026-02-25 01:52:39
T369,U2974,A2635,Card,620.41,completed,2026-02-05 23:36:19
T370,U1585,A2353,Wire,73.07,completed,2026-02-01 20:08:28
T371,U1957,A106,Wire,387.12,completed,2026-02-03 16:06:20
T372,U458,A1635,ACH,162.04,completed,2026-02-05 13:23:53
T373,U430,A1575,Card,263.54,completed,2026-02-18 04:05:01
T374,U821,A2207,ACH,250.88,completed,2026-02-14 06:56:48
T375,U2556,A2631,Wire,919.0,failed,2026-02-15 23:04:47
T376,U2947,A2989,Wire,2181.47,completed,2026-02-16 02:21:18
T377,U1567,A108,ACH,958.32,completed,2026-02-10 22:39:25
T378,U1495,A1536,Card,86.61,completed,2026-02-18 12:17:33
T379,U2472,A1681,Wire,75.12,completed,2026-02-15 23:20:39
T380,U409,A1500,Card,473.35,completed,2026-02-28 00:34:29
T381,U1872,A2996,ACH,58.73,completed,2026-02-12 13:50:42
T382,U674,A2360,Wire,452.13,failed,2026-02-20 10:14:05
T383,U1252,A551,Card,1201.96,failed,2026-02-18 23:49:09
T384,U1239,A240,Card,2028.95,completed,2026-02-02 20:05:47
T385,U1968,A2766,ACH,35.02,completed,2026-02-24 00:46:56
T386,U2325,A346,Card,79.51,completed,2026-02-17 04:29:23
T387,U71,A171,Wire,274.78,completed,2026-02-12 20:17:48
T388,U1898,A633,ACH,875.31,completed,2026-02-09 18:50:07
T389,U911,A844,Card,3.47,completed,2026-02-01 21:18:19
T390,U1029,A1813,Wire,575.76,completed,2026-02-05 12:32:01
T391,U278,A1563,ACH,406.04,completed,2026-02-08 09:18:59
T392,U1971,A760,ACH,759.82,completed,2026-02-17 07:20:33
T393,U2008,A2561,Wire,1003.52,pending,2026-02-21 16:40:00
T394,U2046,A21,Wire,521.39,completed,2026-02-22 03:30:36
T395,U352,A354,Card,844.63,completed,2026-02-23 22:58:44
T396,U1328,A2196,ACH,1006.41,pending,2026-02-02 17:54:07
T397,U1321,A926,ACH,749.35,pending,2026-02-21 18:55:08
T398,U1469,A308,ACH,380.82,completed,2026-02-13 21:34:01
T399,U2820,A924,ACH,1282.06,completed,2026-02-27 11:51:51
T400,U1026,A730,Card,132.06,completed,2026-02-01 02:44:55
T401,U1101,A1544,ACH,494.11,completed,2026-02-21 13:17:23
T402,U1702,A1570,Card,1664.91,completed,2026-02-01 22:46:55
T403,U1256,A1137,ACH,92.98,completed,2026-02-22 17:48:03
T404,U1023,A1858,ACH,128.89,completed,2026-02-18 03:22:41
T405,U2589,A1587,Card,467.4,completed,2026-02-08 01:40:53
T406,U2933,A981,Card,544.85,completed,2026-02-12 16:24:53
T407,U1424,A1340,Wire,452.28,completed,2026-02-21 23:35:55
T408,U2574,A1939,Wire,496.24,completed,2026-02-08 19:48:56
