case_id,transaction_id,issue_type,status,resolution_time_hours
C199,T1267,pending_payment,resolved,10
C200,T1272,duplicate,resolved,31
C201,T1274,pending_payment,resolved,2
C202,T1277,refund,resolved,47
C203,T1280,pending_payment,resolved,4
C204,T1286,duplicate,resolved,22
C205,T1298,failed_payment,resolved,38
C206,T1314,failed_payment,resolved,25
C207,T1319,duplicate,resolved,12
C208,T1322,failed_payment,resolved,37
C209,T1335,refund,resolved,25
C210,T1342,duplicate,resolved,11
C211,T1346,pending_payment,resolved,68
C212,T1350,refund,resolved,12
C213,T1354,pending_payment,resolved,29
C214,T1357,pending_payment,resolved,68
C215,T1371,failed_payment,resolved,16
C216,T1376,pending_payment,resolved,71
C217,T1379,refund,resolved,22
C218,T1389,refund,resolved,72
C219,T1395,failed_payment,resolved,48
C220,T1396,refund,resolved,70
C221,T1401,pending_payment,resolved,65
C222,T1424,duplicate,resolved,47
C223,T1434,pending_payment,resolved,67
C224,T1449,pending_payment,resolved,62
C225,T1451,pending_payment,resolved,68
C226,T1460,failed_payment,resolved,52
C227,T1472,refund,resolved,29
C228,T1474,pending_payment,resolved,13
C229,T1479,pending_payment,resolved,69
C230,T1482,pending_payment,resolved,68
C231,T1497,refund,resolved,38
C232,T1504,pending_payment,resolved,44
C233,T1511,refund,resolved,11
C234,T1516,duplicate,resolved,70
C235,T1519,pending_payment,resolved,67
C236,T1528,failed_payment,resolved,14
C237,T1529,pending_payment,resolved,15
C238,T1530,pending_payment,resolved,34
C239,T1535,refund,resolved,60
C240,T1536,failed_payment,resolved,48
C241,T1541,duplicate,resolved,6
C242,T1549,refund,resolved,19
C243,T1550,failed_payment,resolved,47
C244,T1559,duplicate,resolved,25
C245,T1561,refund,resolved,64
C246,T1573,refund,resolved,58
C247,T1574,refund,resolved,43
C248,T1575,failed_payment,resolved,5
C249,T1577,failed_payment,resolved,12
C250,T1584,refund,resolved,30
C251,T1585,failed_payment,open,0
C252,T1588,failed_payment,resolved,23
C253,T1590,refund,resolved,9
C254,T1603,pending_payment,resolved,45
C255,T1615,duplicate,resolved,57
C256,T1622,duplicate,resolved,67
C257,T1625,refund,resolved,44
C258,T1626,refund,resolved,52
C259,T1632,duplicate,resolved,31
C260,T1637,failed_payment,resolved,1
C261,T1642,duplicate,resolved,70
C262,T1644,duplicate,resolved,72
C263,T1655,refund,resolved,53
C264,T1657,refund,resolved,57
C265,T1658,duplicate,resolved,10
C266,T1678,refund,resolved,18
C267,T1680,pending_payment,resolved,5
C268,T1698,duplicate,resolved,16
C269,T1702,pending_payment,resolved,45
C270,T1705,failed_payment,resolved,32
C271,T1714,duplicate,resolved,6
C272,T1723,duplicate,resolved,24
C273,T1724,refund,resolved,13
C274,T1729,pending_payment,resolved,17
C275,T1730,pending_payment,resolved,61
C276,T1742,duplicate,resolved,27
C277,T1749,refund,resolved,64
C278,T1752,pending_payment,resolved,55
C279,T1756,duplicate,resolved,22
C280,T1758,duplicate,resolved,20
C281,T1761,failed_payment,resolved,33
C282,T1764,duplicate,resolved,66
C283,T1776,pending_payment,resolved,51
C284,T1779,failed_payment,resolved,29
C285,T1787,pending_payment,resolved,68
C286,T1788,duplicate,resolved,24
C287,T1799,failed_payment,resolved,27
C288,T1809,pending_payment,resolved,42
C289,T1810,failed_payment,resolved,41
C290,T1824,refund,resolved,71
C291,T1837,failed_payment,resolved,41
C292,T1850,failed_payment,resolved,6
C293,T1851,pending_payment,resolved,36
C294,T1865,failed_payment,resolved,7
C295,T1868,duplicate,resolved,46
C296,T1871,refund,resolved,57
C297,T1886,pending_payment,resolved,10
C298,T1887,duplicate,resolved,61
C299,T1888,failed_payment,resolved,6
C300,T1901,pending_payment,resolved,51
C301,T1910,pending_payment,resolved,45
C302,T1920,refund,resolved,4
C303,T1923,duplicate,resolved,19
C304,T1936,duplicate,resolved,39
C305,T1939,failed_payment,resolved,1
C306,T1943,pending_payment,resolved,69
C307,T1944,duplicate,resolved,66
C308,T1945,pending_payment,resolved,60
C309,T1968,duplicate,resolved,4
C310,T2003,duplicate,resolved,41
C311,T2010,duplicate,resolved,56
C312,T2014,pending_payment,resolved,46
C313,T2020,pending_payment,resolved,12
C314,T2022,refund,resolved,16
C315,T2027,duplicate,resolved,50
C316,T2052,refund,resolved,5
C317,T2054,pending_payment,resolved,20
C318,T2055,duplicate,resolved,63
C319,T2059,refund,resolved,48
C320,T2065,failed_payment,resolved,29
C321,T2067,duplicate,resolved,43
C322,T2079,failed_payment,resolved,10
C323,T2082,pending_payment,resolved,59
C324,T2089,refund,resolved,69
C325,T2093,refund,resolved,41
C326,T2096,failed_payment,resolved,53
C327,T2103,pending_payment,resolved,40
C328,T2107,duplicate,resolved,19
C329,T2112,refund,resolved,55
C330,T2122,duplicate,resolved,35
C331,T2139,refund,resolved,22
C332,T2147,refund,resolved,26
C333,T2157,refund,resolved,25
C334,T2159,duplicate,resolved,18
C335,T2177,refund,resolved,72
C336,T2189,pending_payment,resolved,63
C337,T2194,refund,open,0
C338,T2202,refund,resolved,43
C339,T2206,duplicate,resolved,32
C340,T2212,failed_payment,resolved,57
C341,T2214,refund,resolved,47
C342,T2215,pending_payment,resolved,35
C343,T2218,failed_payment,resolved,64
C344,T2221,failed_payment,resolved,58
C345,T2224,pending_payment,resolved,52
C346,T2236,failed_payment,resolved,44
C347,T2243,pending_payment,resolved,37
C348,T2252,pending_payment,resolved,53
C349,T2268,duplicate,resolved,34
C350,T2272,refund,resolved,15
C351,T2281,refund,resolved,9
C352,T2303,pending_payment,resolved,72
C353,T2318,refund,resolved,27
C354,T2324,refund,resolved,49
C355,T2325,pending_payment,resolved,12
C356,T2326,refund,resolved,38
C357,T2334,pending_payment,resolved,24
C358,T2339,refund,resolved,12
C359,T2341,pending_payment,resolved,52
C360,T2345,refund,resolved,32
C361,T2367,pending_payment,resolved,69
C362,T2370,refund,resolved,21
C363,T2400,pending_payment,resolved,6
C364,T2401,refund,resolved,38
C365,T2402,duplicate,resolved,35
C366,T2405,refund,resolved,66
C367,T2408,refund,resolved,13
C368,T2411,refund,resolved,15
C369,T2417,pending_payment,resolved,20
C370,T2418,refund,resolved,70
C371,T2422,failed_payment,resolved,27
C372,T2446,duplicate,resolved,50
C373,T2458,refund,resolved,9
C374,T2461,pending_payment,resolved,23
C375,T2462,pending_payment,resolved,40
C376,T2466,refund,resolved,17
C377,T2477,refund,resolved,56
C378,T2486,failed_payment,resolved,4
C379,T2515,pending_payment,resolved,33
C380,T2534,failed_payment,resolved,60
C381,T2540,refund,resolved,50
C382,T2541,refund,resolved,56
C383,T2545,pending_payment,resolved,64
C384,T2559,duplicate,resolved,68
C385,T2563,duplicate,resolved,48
C386,T2572,pending_payment,resolved,20
C387,T2586,duplicate,resolved,59
C388,T2597,duplicate,resolved,29
C389,T2598,pending_payment,resolved,12
C390,T2603,refund,resolved,9
C391,T2604,pending_payment,resolved,54
C392,T2617,duplicate,resolved,52
C393,T2620,refund,resolved,62
C394,T2626,duplicate,resolved,18
C395,T2631,failed_payment,resolved,47
C396,T2635,duplicate,resolved,9
C397,T2637,pending_payment,resolved,64
C398,T2640,failed_payment,resolved,47
C399,T2642,pending_payment,resolved,7
C400,T2646,refund,resolved,10
C401,T2660,duplicate,resolved,56
C402,T2677,pending_payment,resolved,56
C403,T2678,pending_payment,resolved,47
C404,T2679,failed_payment,open,0
C405,T2683,refund,resolved,52
C406,T2684,refund,resolved,70
C407,T2710,duplicate,resolved,49
C408,T2714,duplicate,resolved,9
C409,T2715,pending_payment,resolved,47
C410,T2747,refund,resolved,14
C411,T2748,failed_payment,resolved,32
C412,T2756,duplicate,resolved,25
C413,T2765,refund,resolved,30
C414,T2794,failed_payment,resolved,47
C415,T2801,pending_payment,resolved,50
C416,T2808,refund,resolved,25
C417,T2810,duplicate,resolved,9
C418,T2821,failed_payment,resolved,51
C419,T2831,pending_payment,resolved,56
C420,T2842,pending_payment,resolved,44
C421,T2843,failed_payment,resolved,70
C422,T2849,refund,resolved,2
C423,T2851,duplicate,resolved,43
C424,T2858,pending_payment,resolved,8
C425,T2865,refund,resolved,57
C426,T2867,duplicate,resolved,57
C427,T2869,duplicate,resolved,22
C428,T2870,refund,resolved,55
C429,T2871,pending_payment,open,0
C430,T2872,failed_payment,resolved,66
C431,T2882,duplicate,resolved,17
C432,T2907,failed_payment,resolved,67
C433,T2911,failed_payment,resolved,18
C434,T2914,pending_payment,resolved,5
C435,T2915,pending_payment,resolved,21
C436,T2920,failed_payment,resolved,67
C437,T2921,pending_payment,resolved,22
C438,T2931,failed_payment,resolved,69
C439,T2938,pending_payment,resolved,5
C440,T2943,refund,resolved,9
C441,T2944,failed_payment,resolved,44
C442,T2948,failed_payment,resolved,16
C443,T2968,refund,resolved,37
C444,T2976,failed_payment,resolved,70
C445,T2989,pending_payment,resolved,23
C446,T3004,pending_payment,resolved,47
C447,T3006,refund,resolved,59
C448,T3013,refund,resolved,62
C449,T3021,failed_payment,resolved,11
C450,T3024,refund,resolved,57
C451,T3028,pending_payment,resolved,12
C452,T3038,pending_payment,resolved,66
C453,T3045,refund,open,0
C454,T3057,failed_payment,resolved,22
C455,T3068,failed_payment,resolved,69
C456,T3094,duplicate,resolved,14
C457,T3106,duplicate,resolved,49
C458,T3107,pending_payment,resolved,65
C459,T3110,pending_payment,resolved,42
C460,T3126,failed_payment,resolved,44
C461,T3127,duplicate,resolved,21
C462,T3129,duplicate,resolved,29
C463,T3130,refund,resolved,12
C464,T3133,failed_payment,open,0
C465,T3148,refund,resolved,47
C466,T3150,failed_payment,resolved,2
C467,T3152,pending_payment,resolved,57
C468,T3155,duplicate,resolved,33
C469,T3166,duplicate,resolved,9
C470,T3167,failed_payment,resolved,36
C471,T3168,refund,resolved,17
C472,T3187,pending_payment,resolved,72
C473,T3188,failed_payment,resolved,36
C474,T3191,refund,resolved,33
C475,T3192,refund,resolved,66
C476,T3193,refund,resolved,54
C477,T3195,pending_payment,resolved,13
C478,T3206,duplicate,resolved,63
C479,T3230,duplicate,open,0
C480,T3231,duplicate,resolved,38
C481,T3232,pending_payment,resolved,57
C482,T3239,failed_payment,resolved,38
C483,T3243,duplicate,open,0
C484,T3256,pending_payment,resolved,22
C485,T3261,pending_payment,resolved,46
C486,T3273,pending_payment,resolved,5
C487,T3275,pending_payment,resolved,44
C488,T3278,duplicate,resolved,2
C489,T3281,duplicate,resolved,27
C490,T3290,refund,resolved,27
C491,T3293,refund,resolved,42
C492,T3303,duplicate,resolved,45
C493,T3305,duplicate,resolved,36
C494,T3313,refund,resolved,23
C495,T3315,pending_payment,resolved,52
C496,T3318,refund,resolved,31
C497,T3320,pending_payment,resolved,9
C498,T3323,failed_payment,resolved,44
C499,T3326,pending_payment,resolved,42
C500,T3336,failed_payment,resolved,43
C501,T3338,refund,resolved,25
C502,T3347,failed_payment,resolved,14
C503,T3368,duplicate,resolved,7
C504,T3369,refund,resolved,55
C505,T3370,failed_payment,resolved,30
C506,T3371,pending_payment,resolved,22
C507,T3376,refund,resolved,23
C508,T3378,pending_payment,resolved,70
C509,T3381,refund,resolved,40
C510,T3383,failed_payment,resolved,56
C511,T3387,refund,resolved,57
C512,T3398,failed_payment,resolved,26
C513,T3402,duplicate,resolved,26
C514,T3403,duplicate,resolved,67
C515,T3408,failed_payment,resolved,53
C516,T3414,duplicate,open,0
C517,T3421,refund,resolved,71
C518,T3429,refund,resolved,40
C519,T3431,duplicate,resolved,59
C520,T3433,duplicate,resolved,53
C521,T3442,failed_payment,resolved,65
C522,T3446,pending_payment,resolved,64
C523,T3452,refund,resolved,39
C524,T3454,failed_payment,resolved,39
C525,T3462,failed_payment,resolved,71
C526,T3471,refund,resolved,49
C527,T3485,pending_payment,resolved,72
C528,T3494,duplicate,resolved,3
C529,T3510,failed_payment,resolved,40
C530,T3513,refund,resolved,49
C531,T3516,duplicate,resolved,46
C532,T3518,pending_payment,resolved,13
C533,T3523,pending_payment,resolved,20
C534,T3526,duplicate,resolved,45
C535,T3529,refund,resolved,12
C536,T3530,duplicate,resolved,59
C537,T3544,duplicate,resolved,3
C538,T3558,refund,resolved,32
C539,T3561,pending_payment,resolved,61
C540,T3564,pending_payment,resolved,37
C541,T3575,pending_payment,resolved,9
C542,T3577,duplicate,resolved,69
C543,T3591,failed_payment,resolved,61
C544,T3592,duplicate,resolved,21
C545,T3598,refund,resolved,13
C546,T3600,failed_payment,resolved,56
C547,T3601,pending_payment,resolved,66
C548,T3602,pending_payment,resolved,38
C549,T3610,duplicate,resolved,61
C550,T3615,pending_payment,resolved,15
C551,T3619,duplicate,resolved,25
C552,T3637,pending_payment,resolved,42
C553,T3638,refund,resolved,10
C554,T3645,refund,resolved,25
C555,T3662,refund,resolved,24
C556,T3667,pending_payment,resolved,56
C557,T3671,duplicate,resolved,66
C558,T3674,failed_payment,resolved,9
C559,T3694,refund,open,0
C560,T3695,failed_payment,resolved,55
C561,T3704,duplicate,resolved,1
C562,T3705,duplicate,resolved,62
C563,T3734,pending_payment,resolved,63
C564,T3736,duplicate,resolved,43
C565,T3743,refund,resolved,6
C566,T3744,failed_payment,resolved,26
C567,T3748,duplicate,resolved,5
C568,T3750,pending_payment,resolved,17
C569,T3751,failed_payment,resolved,11
C570,T3752,failed_payment,resolved,35
C571,T3757,pending_payment,resolved,30
C572,T3759,duplicate,resolved,11
C573,T3765,failed_payment,resolved,39
C574,T3771,refund,resolved,25
C575,T3778,duplicate,resolved,60
C576,T3791,pending_payment,resolved,71
C577,T3792,duplicate,resolved,11
C578,T3794,duplicate,resolved,1
C579,T3801,pending_payment,resolved,3
C580,T3808,pending_payment,resolved,60
C581,T3824,refund,resolved,62
C582,T3828,duplicate,resolved,31
C583,T3830,duplicate,resolved,68
C584,T3832,pending_payment,resolved,54
C585,T3839,refund,resolved,23
C586,T3843,duplicate,resolved,11
C587,T3844,failed_payment,resolved,53
C588,T3862,duplicate,resolved,25
C589,T3866,failed_payment,resolved,36
C590,T3870,refund,resolved,51
C591,T3873,duplicate,resolved,27
C592,T3888,refund,resolved,1
C593,T3891,refund,resolved,3
C594,T3900,failed_payment,resolved,40
C595,T3910,refund,resolved,5
C596,T3914,refund,resolved,70
C597,T3916,failed_payment,resolved,57
C598,T3918,pending_payment,resolved,56
C599,T3919,duplicate,resolved,54
C600,T3926,pending_payment,resolved,2
C601,T3941,failed_payment,resolved,56
C602,T3966,refund,resolved,67
C603,T3970,refund,resolved,2
C604,T3982,pending_payment,resolved,1
C605,T3990,pending_payment,resolved,31
C606,T3991,failed_payment,resolved,51
C607,T4010,pending_payment,resolved,50
C608,T4029,failed_payment,resolved,5
C609,T4031,failed_payment,resolved,33
C610,T4032,failed_payment,resolved,53
C611,T4037,pending_payment,resolved,57
C612,T4041,duplicate,resolved,43
C613,T4049,refund,resolved,2
C614,T4068,failed_payment,resolved,48
C615,T4077,failed_payment,resolved,2
C616,T4083,duplicate,resolved,65
C617,T4090,refund,resolved,38
C618,T4091,refund,resolved,39
C619,T4101,refund,resolved,18
C620,T4103,refund,resolved,21
C621,T4111,duplicate,resolved,52
C622,T4118,pending_payment,resolved,11
C623,T4119,duplicate,resolved,38
C624,T4126,failed_payment,resolved,52
C625,T4142,pending_payment,resolved,35
C626,T4152,pending_payment,resolved,62
C627,T4153,failed_payment,resolved,41
C628,T4156,duplicate,resolved,70
C629,T4157,refund,resolved,34
C630,T4163,refund,resolved,57
C631,T4168,duplicate,resolved,44
C632,T4170,duplicate,resolved,30
C633,T4174,pending_payment,resolved,3
C634,T4181,duplicate,resolved,31
C635,T4190,refund,resolved,12
C636,T4202,duplicate,resolved,31
C637,T4207,refund,resolved,41
C638,T4209,pending_payment,resolved,26
C639,T4218,refund,resolved,52
C640,T4241,failed_payment,resolved,26
C641,T4246,failed_payment,resolved,72
C642,T4252,refund,resolved,9
C643,T4260,refund,resolved,10
C644,T4263,duplicate,resolved,14
C645,T4277,refund,resolved,24
C646,T4279,failed_payment,resolved,69
C647,T4291,refund,resolved,61
C648,T4309,pending_payment,resolved,36
C649,T4326,failed_payment,resolved,67
C650,T4336,duplicate,resolved,43
C651,T4350,refund,resolved,20
C652,T4360,refund,resolved,19
C653,T4364,duplicate,resolved,37
C654,T4366,refund,resolved,39
C655,T4372,duplicate,resolved,40
C656,T4381,duplicate,resolved,58
C657,T4385,duplicate,resolved,23
C658,T4390,refund,resolved,17
C659,T4396,duplicate,resolved,59
C660,T4399,pending_payment,resolved,50
C661,T4401,refund,resolved,9
C662,T4403,failed_payment,resolved,46
C663,T4409,failed_payment,resolved,35
C664,T4418,duplicate,resolved,32
C665,T4428,pending_payment,resolved,46
C666,T4430,duplicate,resolved,2
C667,T4436,failed_payment,resolved,59
C668,T4444,failed_payment,resolved,48
C669,T4449,duplicate,resolved,45
C670,T4455,refund,resolved,29
C671,T4465,refund,resolved,56
C672,T4471,pending_payment,resolved,29
C673,T4472,refund,resolved,2
C674,T4474,failed_payment,resolved,68
C675,T4492,duplicate,resolved,38
C676,T4494,failed_payment,resolved,14
C677,T4499,duplicate,resolved,53
C678,T4501,duplicate,resolved,6
C679,T4503,failed_payment,resolved,11
C680,T4525,pending_payment,resolved,18
C681,T4541,failed_payment,resolved,7
C682,T4550,refund,resolved,18
C683,T4551,duplicate,resolved,15
C684,T4555,pending_payment,resolved,46
C685,T4561,duplicate,resolved,26
C686,T4563,duplicate,resolved,44
C687,T4564,refund,resolved,2
C688,T4573,failed_payment,resolved,12
C689,T4579,refund,resolved,39
C690,T4594,failed_payment,resolved,22
C691,T4599,refund,resolved,37
C692,T4602,failed_payment,resolved,61
C693,T4606,duplicate,resolved,36
C694,T4613,pending_payment,resolved,2
C695,T4619,duplicate,resolved,8
C696,T4629,refund,resolved,2
C697,T4634,failed_payment,resolved,27
C698,T4637,refund,resolved,36
C699,T4640,pending_payment,resolved,49
C700,T4644,pending_payment,resolved,59
C701,T4649,duplicate,resolved,70
C702,T4654,duplicate,resolved,67
C703,T4664,pending_payment,resolved,62
C704,T4676,duplicate,resolved,46
C705,T4678,duplicate,resolved,32
C706,T4679,refund,resolved,67
C707,T4682,duplicate,resolved,19
C708,T4696,duplicate,resolved,38
C709,T4701,failed_payment,resolved,9
C710,T4707,failed_payment,resolved,26
C711,T4721,duplicate,resolved,4
C712,T4735,pending_payment,resolved,66
C713,T4739,pending_payment,resolved,29
C714,T4741,duplicate,resolved,61
C715,T4742,refund,resolved,33
C716,T4746,failed_payment,resolved,20
C717,T4761,duplicate,resolved,8
C718,T4766,refund,resolved,49
C719,T4774,refund,resolved,53
C720,T4782,refund,resolved,58
C721,T4787,refund,resolved,12
C722,T4805,duplicate,resolved,11
C723,T4821,failed_payment,resolved,13
C724,T4827,pending_payment,resolved,60
C725,T4831,failed_payment,resolved,25
C726,T4842,duplicate,resolved,2
C727,T4848,refund,resolved,65
C728,T4849,pending_payment,resolved,18
C729,T4853,refund,resolved,59
C730,T4858,duplicate,resolved,61
C731,T4865,failed_payment,resolved,51
C732,T4866,pending_payment,resolved,42
C733,T4867,refund,resolved,50
C734,T4870,duplicate,resolved,2
C735,T4878,duplicate,resolved,67
C736,T4884,refund,resolved,1
C737,T4891,duplicate,resolved,37
C738,T4902,refund,resolved,68
C739,T4906,duplicate,resolved,54
C740,T4910,failed_payment,resolved,36
C741,T4913,failed_payment,resolved,31
C742,T4915,pending_payment,resolved,40
C743,T4917,duplicate,resolved,50
C744,T4927,duplicate,resolved,59
C745,T4928,pending_payment,resolved,57
C746,T4931,refund,resolved,71
C747,T4939,duplicate,resolved,21
C748,T4947,duplicate,resolved,65
C749,T4951,refund,resolved,64
C750,T4952,refund,resolved,66
C751,T4958,pending_payment,resolved,67
C752,T4961,duplicate,resolved,7
C753,T4965,duplicate,resolved,41
C754,T4992,refund,resolved,19
C755,T5001,pending_payment,resolved,1
C756,T5019,duplicate,resolved,57
C757,T5021,failed_payment,resolved,19
C758,T5023,duplicate,resolved,44
C759,T5024,refund,resolved,37
C760,T5039,failed_payment,resolved,57
C761,T5047,refund,resolved,22
C762,T5049,duplicate,resolved,41
C763,T5052,refund,resolved,58
C764,T5058,refund,resolved,2
C765,T5066,pending_payment,resolved,53
C766,T5073,refund,resolved,21
C767,T5075,duplicate,resolved,18
C768,T5079,duplicate,resolved,6
C769,T5080,failed_payment,resolved,1
C770,T5091,duplicate,resolved,30
C771,T5092,pending_payment,resolved,41
C772,T5099,duplicate,resolved,58
C773,T5107,refund,resolved,68
C774,T5110,failed_payment,resolved,39
C775,T5113,failed_payment,resolved,16
C776,T5118,pending_payment,resolved,16
C777,T5121,pending_payment,resolved,12
C778,T5122,pending_payment,resolved,51
C779,T5136,failed_payment,resolved,64
C780,T5140,duplicate,resolved,55
C781,T5141,pending_payment,resolved,3
C782,T5142,refund,resolved,59
C783,T5147,duplicate,resolved,28
C784,T5152,duplicate,resolved,10
C785,T5156,duplicate,open,0
C786,T5161,failed_payment,resolved,43
C787,T5173,duplicate,resolved,49
