transaction_id,expected_amount,actual_amount,discrepancy_flag
T84,1895.71,1895.71,False
T85,241.33,0.0,True
T86,67.72,67.72,False
T87,172.63,172.63,False
T88,1103.9,1103.9,False
T89,140.97,140.97,False
T90,558.54,558.54,False
T91,879.0,879.0,False
T92,627.9,627.9,False
T93,112.86,112.86,False
T94,359.75,359.75,False
T95,562.57,562.57,False
T96,457.34,457.34,False
T97,445.36,445.36,False
T98,265.07,265.07,False
T99,169.98,169.98,False
T100,505.06,505.06,False
T101,339.03,0.0,True
T102,1035.3,1035.3,False
T103,538.1,538.1,False
T104,330.55,330.55,False
T105,387.13,387.13,False
T106,348.88,348.88,False
T107,133.21,133.21,False
T108,342.13,249.73,True
T109,671.58,0.0,True
T110,94.56,0.0,True
T111,78.95,0.0,True
T112,2223.5,2223.5,False
T113,1043.63,1043.63,False
T114,86.95,86.95,False
T115,362.71,362.71,False
T116,762.93,762.93,False
T117,156.92,0.0,True
T118,744.02,744.02,False
T119,599.73,599.73,False
T120,46.4,0.0,True
T121,214.87,214.87,False
T122,157.31,157.31,False
T123,137.96,137.96,False
T124,738.3,462.65,True
T125,360.05,360.05,False
T126,187.58,187.58,False
T127,25.52,25.52,False
T128,342.75,342.75,False
T129,348.79,492.39,True
T130,309.81,309.81,False
T131,987.93,987.93,False
T132,184.12,184.12,False
T133,948.8,948.8,False
T134,252.03,252.03,False
T135,910.24,910.24,False
T136,104.0,104.0,False
T137,782.95,782.95,False
T138,420.99,0.0,True
T139,200.8,200.8,False
T140,673.94,673.94,False
T141,277.44,277.44,False
T142,213.41,213.41,False
T143,629.12,629.12,False
T144,430.68,430.68,False
T145,280.37,280.37,False
T146,131.71,131.71,False
T147,23.63,23.63,False
T148,984.44,984.44,False
T149,2472.95,2472.95,False
T150,621.65,621.65,False
T151,646.35,646.35,False
T152,666.05,907.48,True
T153,250.08,250.08,False
T154,212.95,0.0,True
T155,134.37,134.37,False
T156,150.66,150.66,False
T157,627.5,627.5,False
T158,393.02,393.02,False
T159,104.19,104.19,False
T160,404.33,404.33,False
T161,201.07,201.07,False
T162,1140.44,0.0,True
T163,149.95,149.95,False
T164,913.22,913.22,False
T165,461.39,461.39,False
T166,242.44,242.44,False
T167,152.06,152.06,False
T168,759.17,759.17,False
T169,803.3,0.0,True
T170,556.17,556.17,False
T171,161.34,161.34,False
T172,456.92,0.0,True
T173,269.42,0.0,True
T174,28.4,28.4,False
T175,588.58,588.58,False
T176,137.12,137.12,False
T177,758.74,758.74,False
T178,436.76,0.0,True
T179,284.76,284.76,False
T180,233.49,233.49,False
T181,1255.14,1255.14,False
T182,515.27,515.27,False
T183,437.85,437.85,False
T184,296.64,0.0,True
T185,906.63,906.63,False
T186,177.41,177.41,False
T187,95.37,95.37,False
T188,899.3,899.3,False
T189,155.85,155.85,False
T190,548.04,548.04,False
T191,244.84,244.84,False
T192,170.4,107.09,True
T193,506.76,506.76,False
T194,307.53,0.0,True
T195,304.88,304.88,False
T196,38.82,38.82,False
T197,176.38,176.38,False
T198,116.28,116.28,False
T199,186.35,186.35,False
T200,12.97,12.97,False
T201,187.39,187.39,False
T202,523.09,523.09,False
T203,8.03,8.03,False
T204,381.36,381.36,False
T205,412.35,412.35,False
T206,238.71,238.71,False
T207,1287.48,1287.48,False
T208,980.41,980.41,False
T209,1534.06,1534.06,False
T210,169.1,169.1,False
T211,629.16,629.16,False
T212,431.57,431.57,False
T213,194.87,194.87,False
T214,795.62,795.62,False
T215,301.37,301.37,False
T216,418.91,0.0,True
T217,183.67,183.67,False
T218,2.78,2.78,False
T219,12.75,18.55,True
T220,93.49,93.49,False
T221,140.14,140.14,False
T222,335.65,335.65,False
T223,143.05,143.05,False
T224,266.83,266.83,False
T225,693.22,693.22,False
T226,125.15,125.15,False
T227,429.74,0.0,True
T228,628.62,628.62,False
T229,1516.52,1516.52,False
T230,363.62,363.62,False
T231,400.53,0.0,True
T232,345.6,345.6,False
T233,164.37,164.37,False
T234,879.01,879.01,False
T235,1284.81,1688.14,True
T236,9.93,9.93,False
T237,506.64,0.0,True
T238,436.8,436.8,False
T239,34.34,0.0,True
T240,928.54,0.0,True
T241,36.55,0.0,True
T242,456.21,456.21,False
T243,178.95,178.95,False
T244,208.7,208.7,False
T245,72.39,72.39,False
T246,478.67,478.67,False
T247,76.58,76.58,False
T248,747.32,747.32,False
T249,232.48,0.0,True
T250,248.69,248.69,False
T251,201.77,201.77,False
T252,53.76,53.76,False
T253,2222.57,0.0,True
T254,440.99,0.0,True
T255,67.75,67.75,False
T256,976.2,976.2,False
T257,774.33,774.33,False
T258,1004.41,1004.41,False
T259,152.34,152.34,False
T260,1652.7,1652.7,False
T261,1283.02,1283.02,False
T262,220.55,0.0,True
T263,428.73,428.73,False
T264,388.07,388.07,False
T265,1411.98,1411.98,False
T266,850.36,850.36,False
T267,1050.78,1050.78,False
T268,685.03,685.03,False
T269,124.45,124.45,False
T270,262.72,262.72,False
T271,699.92,699.92,False
T272,598.94,598.94,False
T273,196.15,196.15,False
T274,358.81,358.81,False
T275,3579.33,3579.33,False
T276,1888.54,1888.54,False
T277,715.57,0.0,True
T278,503.63,503.63,False
T279,3319.06,3319.06,False
T280,51.36,0.0,True
T281,419.68,327.75,True
T282,123.38,123.38,False
T283,123.49,123.49,False
T284,364.63,364.63,False
T285,350.33,350.33,False
T286,300.36,300.36,False
T287,253.56,253.56,False
T288,155.51,155.51,False
T289,727.78,727.78,False
T290,284.3,284.3,False
T291,198.91,198.91,False
T292,342.98,342.98,False
T293,735.98,735.98,False
T294,571.55,571.55,False
T295,1608.01,1608.01,False
T296,1152.71,1152.71,False
T297,474.78,474.78,False
T298,173.5,173.5,False
T299,73.39,73.39,False
T300,440.94,440.94,False
T301,60.33,60.33,False
T302,59.99,0.0,True
T303,318.5,318.5,False
T304,1078.35,1078.35,False
T305,350.21,350.21,False
T306,297.6,0.0,True
T307,93.49,93.49,False
T308,630.14,630.14,False
T309,1424.73,1424.73,False
T310,1828.71,1828.71,False
T311,349.38,349.38,False
T312,538.04,538.04,False
T313,759.88,759.88,False
T314,306.15,306.15,False
T315,796.94,796.94,False
T316,270.0,0.0,True
T317,113.15,113.15,False
T318,38.21,38.21,False
T319,322.0,322.0,False
T320,277.05,0.0,True
T321,140.39,197.11,True
T322,111.84,0.0,True
T323,205.91,205.91,False
T324,692.31,692.31,False
T325,730.84,0.0,True
T326,16.8,16.8,False
T327,393.48,393.48,False
T328,2162.17,2162.17,False
T329,370.97,370.97,False
T330,1.8,1.8,False
T331,413.11,413.11,False
T332,1818.69,1818.69,False
T333,193.32,193.32,False
T334,89.91,89.91,False
T335,16.17,16.17,False
T336,817.88,817.88,False
T337,67.74,67.74,False
T338,955.42,0.0,True
T339,71.0,71.0,False
T340,106.66,106.66,False
T341,1131.86,1131.86,False
T342,10.73,10.73,False
T343,702.5,702.5,False
T344,200.61,200.61,False
T345,262.13,262.13,False
T346,107.37,0.0,True
T347,456.44,456.44,False
T348,437.95,0.0,True
T349,247.73,247.73,False
T350,22.85,22.85,False
T351,287.66,287.66,False
T352,912.36,912.36,False
T353,475.75,475.75,False
T354,576.18,576.18,False
T355,426.86,426.86,False
T356,196.28,196.28,False
T357,5.03,5.03,False
T358,329.99,0.0,True
T359,143.07,143.07,False
T360,117.51,117.51,False
T361,120.4,120.4,False
T362,414.4,414.4,False
T363,940.56,940.56,False
T364,331.22,331.22,False
T365,96.6,96.6,False
T366,88.9,88.9,False
T367,748.51,748.51,False
T368,1516.7,1516.7,False
T369,620.41,620.41,False
T370,73.07,73.07,False
T371,387.12,387.12,False
T372,162.04,162.04,False
T373,263.54,263.54,False
T374,250.88,250.88,False
T375,919.0,0.0,True
T376,2181.47,2181.47,False
T377,958.32,958.32,False
T378,86.61,86.61,False
T379,75.12,75.12,False
T380,473.35,473.35,False
T381,58.73,58.73,False
T382,452.13,0.0,True
T383,1201.96,0.0,True
T384,2028.95,2028.95,False
T385,35.02,35.02,False
T386,79.51,79.51,False
T387,274.78,274.78,False
T388,875.31,875.31,False
T389,3.47,3.47,False
T390,575.76,575.76,False
T391,406.04,406.04,False
T392,759.82,549.35,True
T393,1003.52,1003.52,False
T394,521.39,521.39,False
T395,844.63,844.63,False
T396,1006.41,1006.41,False
T397,749.35,749.35,False
T398,380.82,380.82,False
T399,1282.06,1282.06,False
T400,132.06,132.06,False
T401,494.11,494.11,False
T402,1664.91,1664.91,False
T403,92.98,92.98,False
T404,128.89,128.89,False
T405,467.4,467.4,False
T406,544.85,544.85,False
T407,452.28,452.28,False
T408,496.24,496.24,False
T409,165.14,165.14,False
T410,74.89,74.89,False
T411,508.89,508.89,False
T412,217.15,217.15,False
T413,158.68,158.68,False
T414,254.63,254.63,False
T415,896.66,896.66,False
T416,27.28,27.28,False
T417,1093.26,1393.42,True
T418,373.94,373.94,False
T419,1704.49,920.06,True
T420,380.7,380.7,False
T421,366.03,497.21,True
T422,834.72,0.0,True
T423,701.82,701.82,False
T424,29.34,29.34,False
T425,224.84,224.84,False
T426,21.95,0.0,True
T427,1144.97,1144.97,False
T428,669.85,669.85,False
T429,32.72,32.72,False
T430,219.74,219.74,False
T431,801.63,801.63,False
T432,130.42,130.42,False
T433,804.92,804.92,False
T434,232.96,232.96,False
T435,485.49,485.49,False
T436,2432.57,2432.57,False
T437,1605.91,1605.91,False
T438,1557.95,1557.95,False
T439,1150.74,1150.74,False
T440,457.18,457.18,False
T441,124.53,124.53,False
T442,95.0,125.41,True
T443,1580.8,1580.8,False
T444,90.26,90.26,False
T445,873.09,873.09,False
T446,53.68,53.68,False
T447,116.36,86.4,True
T448,346.18,346.18,False
T449,381.25,0.0,True
T450,645.74,645.74,False
T451,72.74,72.74,False
T452,362.01,362.01,False
T453,221.66,221.66,False
T454,425.33,425.33,False
T455,912.19,912.19,False
T456,436.17,436.17,False
T457,1545.96,1545.96,False
T458,268.54,268.54,False
T459,386.37,386.37,False
T460,42.85,42.85,False
T461,251.79,251.79,False
T462,361.9,361.9,False
T463,1243.05,1243.05,False
T464,679.24,0.0,True
T465,353.87,353.87,False
T466,469.05,469.05,False
T467,635.46,635.46,False
T468,773.24,0.0,True
T469,109.23,155.18,True
T470,1139.53,1139.53,False
T471,62.95,0.0,True
T472,503.35,503.35,False
T473,241.89,241.89,False
T474,363.05,363.05,False
T475,130.22,130.22,False
T476,589.57,589.57,False
T477,364.64,0.0,True
T478,278.2,278.2,False
T479,764.2,764.2,False
T480,108.0,108.0,False
T481,417.8,417.8,False
T482,620.56,620.56,False
T483,1187.09,1187.09,False
T484,415.28,415.28,False
T485,375.08,0.0,True
T486,345.23,345.23,False
T487,31.12,0.0,True
T488,254.91,254.91,False
T489,541.79,541.79,False
T490,358.5,468.75,True
T491,620.1,620.1,False
T492,290.58,290.58,False
T493,745.94,745.94,False
T494,17.1,17.1,False
T495,336.62,336.62,False
T496,953.95,953.95,False
T497,467.41,467.41,False
T498,76.95,76.95,False
T499,678.62,678.62,False
T500,575.12,575.12,False
T501,977.28,977.28,False
T502,86.32,86.32,False
T503,381.01,381.01,False
T504,1062.26,1062.26,False
T505,430.02,430.02,False
T506,541.49,541.49,False
T507,658.59,658.59,False
T508,951.61,951.61,False
T509,1022.48,0.0,True
T510,199.04,199.04,False
T511,346.03,346.03,False
T512,395.77,395.77,False
T513,467.97,0.0,True
T514,753.46,753.46,False
T515,209.87,209.87,False
T516,92.27,92.27,False
T517,25.02,25.02,False
T518,137.61,137.61,False
T519,178.83,0.0,True
T520,1097.94,557.58,True
T521,300.73,300.73,False
T522,1043.83,1043.83,False
T523,55.21,55.21,False
T524,231.72,231.72,False
T525,608.26,608.26,False
T526,92.17,92.17,False
T527,2.71,2.71,False
T528,127.82,0.0,True
T529,10.5,10.5,False
T530,532.87,0.0,True
T531,70.81,70.81,False
T532,468.94,0.0,True
T533,37.27,37.27,False
T534,384.82,384.82,False
T535,911.89,911.89,False
T536,1417.91,1417.91,False
T537,641.87,0.0,True
T538,88.61,88.61,False
T539,1064.61,1064.61,False
T540,156.41,156.41,False
T541,419.8,0.0,True
T542,652.53,0.0,True
T543,428.54,428.54,False
T544,360.59,360.59,False
T545,480.85,0.0,True
T546,482.59,482.59,False
T547,288.96,288.96,False
T548,82.6,82.6,False
T549,1123.61,1123.61,False
T550,163.99,163.99,False
T551,420.9,420.9,False
T552,526.12,526.12,False
T553,2466.4,2466.4,False
T554,89.81,89.81,False
T555,127.78,127.78,False
T556,288.16,0.0,True
T557,221.02,221.02,False
T558,677.01,677.01,False
T559,485.28,485.28,False
T560,15.31,15.31,False
T561,172.96,172.96,False
T562,264.49,264.49,False
T563,273.16,0.0,True
T564,1667.23,1667.23,False
T565,752.62,752.62,False
T566,1280.68,1280.68,False
T567,5.47,5.47,False
T568,1710.04,1710.04,False
T569,862.6,862.6,False
T570,1460.64,1460.64,False
T571,532.83,532.83,False
T572,680.6,680.6,False
T573,225.29,0.0,True
T574,75.58,0.0,True
T575,129.31,129.31,False
T576,363.41,363.41,False
T577,215.05,215.05,False
T578,154.42,165.15,True
T579,139.27,179.54,True
T580,2602.41,2602.41,False
T581,1322.93,1322.93,False
T582,95.15,95.15,False
T583,248.22,0.0,True
T584,142.69,142.69,False
T585,1567.26,1567.26,False
T586,324.57,350.55,True
T587,388.24,388.24,False
T588,304.58,304.58,False
T589,821.17,821.17,False
T590,720.26,720.26,False
T591,2227.43,2227.43,False
T592,321.57,321.57,False
T593,514.49,514.49,False
T594,188.16,0.0,True
T595,365.75,365.75,False
T596,717.08,717.08,False
T597,216.72,216.72,False
T598,12.69,12.69,False
T599,245.22,245.22,False
T600,11.33,11.33,False
T601,300.5,300.5,False
T602,208.18,208.18,False
T603,1710.05,1710.05,False
T604,400.33,400.33,False
T605,122.4,122.4,False
T606,175.9,175.9,False
T607,169.32,169.32,False
T608,196.85,196.85,False
T609,594.23,594.23,False
T610,500.23,500.23,False
T611,457.58,457.58,False
T612,196.61,196.61,False
T613,367.43,367.43,False
T614,600.44,600.44,False
T615,2216.0,2216.0,False
T616,239.67,239.67,False
T617,52.26,52.26,False
T618,1031.23,1031.23,False
T619,49.76,49.76,False
T620,808.97,0.0,True
T621,356.38,356.38,False
T622,100.64,100.64,False
T623,1089.62,1089.62,False
T624,3524.83,3524.83,False
T625,1216.4,1216.4,False
T626,1505.39,1505.39,False
T627,161.08,161.08,False
T628,1786.45,1786.45,False
T629,196.19,196.19,False
T630,242.31,253.87,True
T631,379.16,505.32,True
T632,249.1,249.1,False
T633,934.81,934.81,False
T634,199.04,199.04,False
T635,84.52,84.52,False
T636,691.64,926.06,True
T637,640.55,0.0,True
T638,180.89,0.0,True
T639,12.5,12.5,False
T640,141.27,211.86,True
T641,1076.81,1165.25,True
T642,113.44,113.44,False
T643,5.63,5.63,False
T644,491.16,491.16,False
T645,461.06,461.06,False
T646,610.27,0.0,True
T647,598.73,0.0,True
T648,208.83,208.83,False
T649,684.44,684.44,False
T650,163.3,163.3,False
T651,75.08,75.08,False
T652,84.88,84.88,False
T653,704.89,704.89,False
T654,594.63,714.75,True
T655,933.65,933.65,False
T656,56.01,0.0,True
T657,389.73,389.73,False
T658,1353.0,1353.0,False
T659,279.01,279.01,False
T660,137.67,137.67,False
T661,951.86,951.86,False
T662,954.11,1210.12,True
T663,439.04,439.04,False
T664,1241.22,1284.91,True
T665,370.92,370.92,False
T666,39.42,39.42,False
T667,99.08,99.08,False
T668,1177.02,1177.02,False
T669,22.63,22.63,False
T670,1012.88,1012.88,False
T671,751.88,751.88,False
T672,251.31,251.31,False
T673,343.62,343.62,False
T674,1408.2,1408.2,False
T675,336.13,336.13,False
T676,183.48,183.48,False
T677,125.68,125.68,False
T678,95.7,95.7,False
T679,52.36,64.98,True
T680,246.11,246.11,False
T681,1126.01,1126.01,False
T682,382.44,382.44,False
T683,153.87,153.87,False
T684,891.85,0.0,True
T685,963.85,963.85,False
T686,353.44,353.44,False
T687,33.93,33.93,False
T688,48.51,48.51,False
T689,107.36,107.36,False
T690,315.8,315.8,False
T691,348.13,348.13,False
T692,1509.05,1509.05,False
T693,154.96,154.96,False
T694,135.22,0.0,True
T695,267.02,267.02,False
T696,735.37,735.37,False
T697,129.12,129.12,False
T698,431.28,431.28,False
T699,450.73,450.73,False
T700,506.73,506.73,False
T701,31.52,31.52,False
T702,421.45,0.0,True
T703,8.28,0.0,True
T704,83.1,0.0,True
T705,626.25,626.25,False
T706,1691.53,1691.53,False
T707,45.69,45.69,False
T708,367.44,367.44,False
T709,522.36,522.36,False
T710,1153.33,1153.33,False
T711,1420.96,1420.96,False
T712,244.64,244.64,False
T713,1231.02,1231.02,False
T714,60.71,60.71,False
T715,191.66,191.66,False
T716,149.87,149.87,False
T717,110.75,110.75,False
T718,88.08,0.0,True
T719,659.02,659.02,False
T720,147.26,111.8,True
T721,1552.9,1552.9,False
T722,1519.54,1519.54,False
T723,136.03,136.03,False
T724,420.83,0.0,True
T725,219.09,219.09,False
T726,341.74,0.0,True
T727,127.4,127.4,False
T728,913.75,913.75,False
T729,29.93,29.93,False
T730,150.56,150.56,False
T731,227.43,227.43,False
T732,360.21,0.0,True
T733,0.93,0.0,True
T734,90.2,90.2,False
T735,424.57,424.57,False
T736,11.73,11.73,False
T737,254.94,254.94,False
T738,2062.61,2062.61,False
T739,343.75,343.75,False
T740,429.75,429.75,False
T741,296.28,296.28,False
T742,411.71,411.71,False
T743,116.02,0.0,True
T744,656.97,656.97,False
T745,497.54,497.54,False
T746,5.69,5.69,False
T747,910.61,910.61,False
T748,846.22,846.22,False
T749,584.15,379.87,True
T750,1426.88,0.0,True
T751,185.77,185.77,False
T752,834.27,834.27,False
T753,16.86,16.86,False
T754,966.05,966.05,False
T755,1117.91,1117.91,False
T756,43.47,43.47,False
T757,414.67,414.67,False
T758,618.04,618.04,False
T759,254.47,202.03,True
T760,506.79,506.79,False
T761,586.04,0.0,True
T762,2.77,2.77,False
T763,1470.87,1470.87,False
T764,51.39,51.39,False
T765,462.25,462.25,False
T766,280.08,280.08,False
T767,149.5,149.5,False
T768,418.76,469.24,True
T769,1050.91,1050.91,False
T770,402.95,402.95,False
T771,25.08,25.08,False
T772,726.93,726.93,False
T773,406.15,406.15,False
T774,792.04,792.04,False
T775,26.3,26.3,False
T776,1039.64,1039.64,False
T777,192.68,192.68,False
T778,713.26,0.0,True
T779,384.27,384.27,False
T780,301.32,301.32,False
T781,1454.15,1454.15,False
T782,603.58,603.58,False
T783,140.47,140.47,False
T784,877.63,877.63,False
T785,416.0,416.0,False
T786,690.81,690.81,False
T787,441.05,441.05,False
T788,310.42,310.42,False
T789,161.9,161.9,False
T790,152.61,152.61,False
T791,124.04,124.04,False
T792,29.69,0.0,True
T793,68.1,68.1,False
T794,144.51,144.51,False
T795,357.86,357.86,False
T796,281.61,281.61,False
T797,60.65,60.65,False
T798,1088.65,1088.65,False
T799,329.1,329.1,False
T800,294.89,294.89,False
T801,162.76,162.76,False
T802,7.5,0.0,True
T803,602.5,602.5,False
T804,471.71,471.71,False
T805,293.93,293.93,False
T806,358.65,358.65,False
T807,176.31,176.31,False
T808,1000.35,1000.35,False
T809,64.13,64.13,False
T810,573.88,0.0,True
T811,40.52,0.0,True
T812,24.73,24.73,False
T813,208.77,0.0,True
T814,537.2,537.2,False
T815,378.1,378.1,False
T816,199.36,0.0,True
T817,6.67,6.67,False
T818,414.22,414.22,False
T819,144.25,144.25,False
T820,75.72,75.72,False
T821,139.48,139.48,False
T822,808.0,0.0,True
T823,815.38,815.38,False
T824,23.32,23.32,False
T825,162.09,162.09,False
T826,1007.91,1007.91,False
T827,70.34,70.34,False
T828,820.78,820.78,False
T829,607.07,607.07,False
T830,640.25,640.25,False
T831,29.04,0.0,True
T832,1019.15,1019.15,False
T833,558.39,0.0,True
T834,184.91,0.0,True
T835,267.36,0.0,True
T836,316.26,316.26,False
T837,217.17,217.17,False
T838,204.66,204.66,False
T839,526.5,526.5,False
T840,1332.18,1332.18,False
T841,395.36,395.36,False
T842,101.41,101.41,False
T843,365.7,365.7,False
T844,99.18,99.18,False
T845,224.98,224.98,False
T846,551.09,551.09,False
T847,218.21,218.21,False
T848,264.71,264.71,False
T849,902.64,902.64,False
T850,41.52,41.52,False
T851,1049.93,1049.93,False
T852,2350.94,2350.94,False
T853,669.1,669.1,False
T854,211.01,211.01,False
T855,123.03,0.0,True
T856,266.31,266.31,False
T857,1392.78,1392.78,False
T858,66.64,66.64,False
T859,226.47,226.47,False
T860,243.42,243.42,False
T861,212.29,212.29,False
T862,29.17,29.17,False
T863,469.35,469.35,False
T864,56.74,36.9,True
T865,759.78,759.78,False
T866,355.12,355.12,False
T867,547.22,547.22,False
T868,684.42,0.0,True
T869,7.76,7.76,False
T870,95.55,95.55,False
T871,980.65,980.65,False
T872,216.4,216.4,False
T873,234.17,234.17,False
T874,206.96,206.96,False
T875,228.38,228.38,False
T876,647.27,647.27,False
T877,567.28,0.0,True
T878,372.99,372.99,False
T879,495.05,495.05,False
T880,239.28,239.28,False
T881,89.51,0.0,True
T882,1.89,1.89,False
T883,45.79,45.79,False
T884,524.79,524.79,False
T885,383.2,0.0,True
T886,425.59,425.59,False
T887,58.19,58.19,False
T888,48.4,59.42,True
T889,209.17,209.17,False
T890,53.66,0.0,True
T891,583.82,583.82,False
T892,596.4,355.01,True
T893,267.2,267.2,False
T894,354.05,354.05,False
T895,134.94,134.94,False
T896,157.15,157.15,False
T897,180.35,180.35,False
T898,388.25,388.25,False
T899,56.9,56.9,False
T900,57.03,57.03,False
T901,1047.1,1047.1,False
T902,108.51,95.69,True
T903,372.13,372.13,False
T904,1197.63,1197.63,False
T905,567.76,0.0,True
T906,1456.94,1456.94,False
T907,669.15,669.15,False
T908,612.87,612.87,False
T909,331.05,331.05,False
T910,871.17,871.17,False
T911,383.58,383.58,False
T912,742.01,742.01,False
T913,79.51,79.51,False
T914,354.99,354.99,False
T915,362.07,362.07,False
T916,333.27,333.27,False
T917,145.44,106.26,True
T918,873.79,873.79,False
T919,306.23,306.23,False
T920,20.46,20.46,False
T921,573.25,573.25,False
T922,500.37,690.72,True
T923,218.4,218.4,False
T924,1602.21,1602.21,False
T925,547.36,547.36,False
T926,939.17,0.0,True
T927,1978.76,1978.76,False
T928,1114.7,1114.7,False
T929,7.68,7.68,False
T930,440.1,434.37,True
T931,529.31,529.31,False
T932,942.64,942.64,False
T933,833.53,833.53,False
T934,257.06,257.06,False
T935,143.66,143.66,False
T936,703.63,703.63,False
T937,108.19,108.19,False
T938,662.7,662.7,False
T939,1309.44,1309.44,False
T940,302.02,0.0,True
T941,1974.06,2552.21,True
T942,74.49,74.49,False
T943,55.68,55.68,False
T944,179.47,0.0,True
T945,564.22,287.88,True
T946,1480.61,1480.61,False
T947,383.77,486.68,True
T948,38.73,0.0,True
T949,896.54,896.54,False
T950,1134.95,1134.95,False
T951,3.28,3.28,False
T952,108.04,108.04,False
T953,1688.57,1688.57,False
T954,121.89,154.91,True
T955,544.95,544.95,False
T956,59.56,59.56,False
T957,263.89,263.89,False
T958,950.01,950.01,False
T959,105.47,105.47,False
T960,1180.97,1180.97,False
T961,246.75,246.75,False
T962,314.56,314.56,False
T963,372.75,372.75,False
T964,735.71,735.71,False
T965,973.15,973.15,False
T966,612.87,0.0,True
T967,200.98,200.98,False
T968,284.49,284.49,False
T969,562.5,562.5,False
T970,53.44,53.44,False
T971,65.97,65.97,False
T972,1170.05,1170.05,False
T973,243.83,243.83,False
T974,20.26,20.26,False
T975,869.38,869.38,False
T976,630.56,630.56,False
T977,1022.26,1022.26,False
T978,676.32,676.32,False
T979,1599.16,1599.16,False
T980,145.54,145.54,False
T981,1461.81,1461.81,False
T982,91.24,91.24,False
T983,834.37,0.0,True
T984,371.93,371.93,False
T985,238.56,238.56,False
T986,665.53,665.53,False
T987,329.94,352.1,True
T988,835.9,835.9,False
T989,1207.28,1207.28,False
T990,606.18,606.18,False
T991,496.46,496.46,False
T992,40.61,40.61,False
T993,32.42,37.78,True
T994,1165.39,1165.39,False
T995,306.54,306.54,False
T996,40.57,40.57,False
T997,1276.26,1276.26,False
T998,2078.23,2078.23,False
T999,1269.42,1269.42,False
T1000,51.97,51.97,False
T1001,274.28,274.28,False
T1002,163.1,163.1,False
T1003,9.54,9.54,False
T1004,79.6,79.6,False
T1005,665.79,665.79,False
T1006,304.69,304.69,False
T1007,588.46,0.0,True
T1008,786.63,786.63,False
T1009,262.91,0.0,True
T1010,639.62,639.62,False
T1011,364.85,364.85,False
T1012,122.23,122.23,False
T1013,204.65,268.48,True
T1014,875.63,875.63,False
T1015,974.33,974.33,False
T1016,988.88,988.88,False
T1017,91.38,91.38,False
T1018,809.62,809.62,False
T1019,639.75,639.75,False
T1020,1627.2,1627.2,False
T1021,30.39,30.39,False
T1022,539.43,539.43,False
T1023,2613.65,2613.65,False
T1024,202.78,202.78,False
T1025,1470.02,1470.02,False
T1026,8.52,8.52,False
T1027,454.82,454.82,False
T1028,469.82,469.82,False
T1029,409.59,409.59,False
T1030,266.3,266.3,False
T1031,23.02,23.02,False
T1032,16.1,16.1,False
T1033,388.38,388.38,False
T1034,845.38,845.38,False
T1035,764.46,764.46,False
T1036,616.13,616.13,False
T1037,704.99,704.99,False
T1038,1790.82,1790.82,False
T1039,515.71,515.71,False
T1040,442.2,442.2,False
T1041,225.65,225.65,False
T1042,530.36,530.36,False
T1043,105.13,0.0,True
T1044,166.21,166.21,False
T1045,238.21,238.21,False
T1046,149.97,168.7,True
T1047,106.12,0.0,True
T1048,587.55,587.55,False
